entity,type,time,sentiment,score,company,channel
spacex,ORG,2020-12-13,5 stars,5,spacex,tweet
orlando,GPE,2020-12-13,5 stars,5,spacex,tweet
vs falcon,PRODUCT,2020-12-13,5 stars,5,spacex,tweet
rtls,ORG,2020-12-13,5 stars,5,spacex,tweet
spacex,PERSON,2020-12-13,5 stars,5,spacex,tweet
mars,LOC,2020-12-13,5 stars,5,spacex,tweet
gooo ,ORG,2020-12-13,5 stars,5,spacex,tweet
7th,ORDINAL,2020-12-13,5 stars,5,spacex,tweet
falcon,ORG,2020-12-13,5 stars,5,spacex,tweet
spacex,PERSON,2020-12-13,5 stars,5,spacex,tweet
mars,LOC,2020-12-13,5 stars,5,spacex,tweet
69th,ORDINAL,2020-12-13,4 stars,4,spacex,tweet
69th,ORDINAL,2020-12-11,1 star,1,spacex,tweet
noo,ORG,2020-12-11,1 star,1,spacex,tweet
spacex,ORG,2020-12-11,1 star,1,spacex,tweet
69th,ORDINAL,2020-12-11,3 stars,3,spacex,tweet
spacex,ORG,2020-12-11,3 stars,3,spacex,tweet
p ain,PERSON,2020-12-11,1 star,1,spacex,tweet
don,PERSON,2020-12-11,1 star,1,spacex,tweet
spacex,PERSON,2020-12-11,5 stars,5,spacex,tweet
mars,LOC,2020-12-11,5 stars,5,spacex,tweet
sirius,ORG,2020-12-11,1 star,1,spacex,tweet
spacex,PERSON,2020-12-11,5 stars,5,spacex,tweet
utc,ORG,2020-12-11,1 star,1,spacex,tweet
7th,ORDINAL,2020-12-11,5 stars,5,spacex,tweet
first,ORDINAL,2020-12-11,5 stars,5,spacex,tweet
spacex,PERSON,2020-12-11,5 stars,5,spacex,tweet
mars,LOC,2020-12-10,1 star,1,spacex,tweet
so proud,LAW,2020-12-10,5 stars,5,spacex,tweet
nasa,ORG,2020-12-10,3 stars,3,spacex,tweet
earth,LOC,2020-12-09,5 stars,5,spacex,tweet
3rd,ORDINAL,2020-12-09,2 stars,2,spacex,tweet
chuck,PERSON,2020-12-08,5 stars,5,spacex,tweet
acho lindo isso,PERSON,2020-12-08,1 star,1,spacex,tweet
station terra plana eles dizem,ORG,2020-12-08,1 star,1,spacex,tweet
resilience,PERSON,2020-12-08,5 stars,5,spacex,tweet
iss,ORG,2020-12-08,3 stars,3,spacex,tweet
dragon 1,WORK_OF_ART,2020-12-08,3 stars,3,spacex,tweet
nerdle,PERSON,2020-12-07,2 stars,2,spacex,tweet
dragons,ORG,2020-12-07,5 stars,5,spacex,tweet
space shuttle,PRODUCT,2020-12-07,2 stars,2,spacex,tweet
iss,ORG,2020-12-07,2 stars,2,spacex,tweet
lifter,PERSON,2020-12-07,1 star,1,spacex,tweet
spacex,PERSON,2020-12-07,1 star,1,spacex,tweet
falcon x 9 hl,ORG,2020-12-07,1 star,1,spacex,tweet
second,ORDINAL,2020-12-07,5 stars,5,spacex,tweet
100th,ORDINAL,2020-12-07,5 stars,5,spacex,tweet
falcon 9,FAC,2020-12-07,5 stars,5,spacex,tweet
super heavy,ORG,2020-12-07,5 stars,5,spacex,tweet
merlin,PRODUCT,2020-12-07,5 stars,5,spacex,tweet
station godspeed ,PRODUCT,2020-12-06,5 stars,5,spacex,tweet
100th,ORDINAL,2020-12-06,5 stars,5,spacex,tweet
first,ORDINAL,2020-12-06,5 stars,5,spacex,tweet
falcon 9,PRODUCT,2020-12-06,5 stars,5,spacex,tweet
100th,ORDINAL,2020-12-06,5 stars,5,spacex,tweet
2nd,ORDINAL,2020-12-06,2 stars,2,spacex,tweet
69th,ORDINAL,2020-12-06,3 stars,3,spacex,tweet
spacex,PERSON,2020-12-06,5 stars,5,spacex,tweet
american,NORP,2020-12-06,3 stars,3,spacex,tweet
love,WORK_OF_ART,2020-12-06,1 star,1,spacex,tweet
apollo,ORG,2020-12-06,5 stars,5,spacex,tweet
elon musk,PERSON,2020-12-06,1 star,1,spacex,tweet
america,GPE,2020-12-06,1 star,1,spacex,tweet
fifth,ORDINAL,2020-12-06,4 stars,4,spacex,tweet
second,ORDINAL,2020-12-06,3 stars,3,spacex,tweet
cinnabon,ORG,2020-12-06,5 stars,5,spacex,tweet
nazi,NORP,2020-11-25,1 star,1,spacex,tweet
starlink,GPE,2020-11-25,5 stars,5,spacex,tweet
7th,ORDINAL,2020-11-25,5 stars,5,spacex,tweet
7th,ORDINAL,2020-11-25,5 stars,5,spacex,tweet
7th,ORDINAL,2020-11-25,5 stars,5,spacex,tweet
100th,ORDINAL,2020-11-25,5 stars,5,spacex,tweet
merlin,PRODUCT,2020-11-25,1 star,1,spacex,tweet
india,GPE,2020-11-25,5 stars,5,spacex,tweet
sriharikota,LOC,2020-11-25,5 stars,5,spacex,tweet
isro,ORG,2020-11-25,5 stars,5,spacex,tweet
the polar satellite launch vehicle pslv,ORG,2020-11-25,5 stars,5,spacex,tweet
39th,ORDINAL,2020-11-25,5 stars,5,spacex,tweet
estan,ORG,2020-11-25,1 star,1,spacex,tweet
asco,ORG,2020-11-25,1 star,1,spacex,tweet
500kbps,PERSON,2020-11-25,1 star,1,spacex,tweet
livestream,ORG,2020-11-25,4 stars,4,spacex,tweet
east coast,LOC,2020-11-23,3 stars,3,spacex,tweet
utc,ORG,2020-11-23,3 stars,3,spacex,tweet
nooooo l,PRODUCT,2020-11-23,1 star,1,spacex,tweet
8th,ORDINAL,2021-08-26,5 stars,5,vg,tweet
18th,ORDINAL,2021-08-26,5 stars,5,vg,tweet
utc live,ORG,2021-07-20,1 star,1,vg,tweet
karman,NORP,2021-07-09,4 stars,4,vg,tweet
blue origins,ORG,2021-06-12,1 star,1,vg,tweet
first,ORDINAL,2021-06-12,1 star,1,vg,tweet
mark a,PERSON,2021-06-12,1 star,1,vg,tweet
jeff bezos,PERSON,2021-06-12,1 star,1,vg,tweet
first,ORDINAL,2021-06-12,1 star,1,vg,tweet
utc,ORG,2021-06-12,1 star,1,vg,tweet
first,ORDINAL,2021-06-11,1 star,1,vg,tweet
utc,ORG,2021-06-11,1 star,1,vg,tweet
mark,PERSON,2021-06-07,4 stars,4,vg,tweet
instagram,ORG,2021-06-07,4 stars,4,vg,tweet
jeff bezos,PERSON,2021-06-07,4 stars,4,vg,tweet
first,ORDINAL,2021-06-07,4 stars,4,vg,tweet
new shepards,ORG,2021-06-07,4 stars,4,vg,tweet
the human landing system,ORG,2021-05-27,3 stars,3,vg,tweet
the national team,ORG,2021-05-27,3 stars,3,vg,tweet
huntsville alabama,GPE,2021-02-09,5 stars,5,vg,tweet
moon,PERSON,2021-02-09,5 stars,5,vg,tweet
america,GPE,2021-02-09,5 stars,5,vg,tweet
launch site,ORG,2021-01-14,1 star,1,vg,tweet
utc,ORG,2021-01-14,1 star,1,vg,tweet
technology a,ORG,2020-09-22,4 stars,4,vg,tweet
karman,NORP,2019-12-11,1 star,1,vg,tweet
8th,ORDINAL,2021-08-26,5 stars,5,vg,tweet
18th,ORDINAL,2021-08-26,5 stars,5,vg,tweet
cj sturckow,PERSON,2021-05-24,5 stars,5,bo,tweet
dave mackay,PERSON,2021-05-24,5 stars,5,bo,tweet
new mexico,GPE,2021-05-22,5 stars,5,bo,tweet
spaceport america,LOC,2021-05-22,5 stars,5,bo,tweet
new mexico,GPE,2021-05-22,5 stars,5,bo,tweet
spaceport america,LOC,2021-05-22,5 stars,5,bo,tweet
iyer,PERSON,2021-02-25,4 stars,4,bo,tweet
aerospace systems and engineering leadership,ORG,2021-02-25,4 stars,4,bo,tweet
aerospace systems,ORG,2021-02-25,4 stars,4,bo,tweet
virgin galactic,ORG,2021-02-25,4 stars,4,bo,tweet
first,ORDINAL,2021-02-23,5 stars,5,bo,tweet
the u s,FAC,2021-02-23,5 stars,5,bo,tweet
mars,LOC,2021-02-18,5 stars,5,bo,tweet
the virgin galactic space advisory board,ORG,2021-02-09,4 stars,4,bo,tweet
earth,LOC,2021-02-06,5 stars,5,bo,tweet
spaceshiptwo unitys,ORG,2021-02-06,5 stars,5,bo,tweet
unity,ORG,2021-02-05,5 stars,5,bo,tweet
unity with valentines day,WORK_OF_ART,2021-02-05,5 stars,5,bo,tweet
galactic unite,ORG,2021-02-03,5 stars,5,bo,tweet
virgin galactic,ORG,2021-02-03,5 stars,5,bo,tweet
spaceshiptwo unity,ORG,2021-02-01,4 stars,4,bo,tweet
new mexico,GPE,2021-02-01,4 stars,4,bo,tweet
spaceport america,LOC,2021-02-01,4 stars,4,bo,tweet
vms eve,WORK_OF_ART,2021-01-22,5 stars,5,bo,tweet
new mexico,GPE,2021-01-22,5 stars,5,bo,tweet
branson,GPE,2021-01-11,5 stars,5,bo,tweet
no virgin galactic,ORG,2021-01-11,5 stars,5,bo,tweet
eve branson,PERSON,2021-01-11,5 stars,5,bo,tweet
form s 3,ORG,2020-12-18,1 star,1,bo,tweet
virgin galactic,ORG,2020-12-18,1 star,1,bo,tweet
michael colglazier,PERSON,2020-12-12,5 stars,5,bo,tweet
cj sturckow cj,PERSON,2020-12-12,4 stars,4,bo,tweet
nasa,ORG,2020-12-12,4 stars,4,bo,tweet
fl,GPE,2020-12-12,4 stars,4,bo,tweet
sixth,ORDINAL,2020-12-12,4 stars,4,bo,tweet
spaceshiptwo unity,ORG,2020-12-12,4 stars,4,bo,tweet
new mexico,GPE,2020-12-12,4 stars,4,bo,tweet
spaceport america,LOC,2020-12-12,4 stars,4,bo,tweet
first,ORDINAL,2020-12-12,4 stars,4,bo,tweet
space missions and safety,ORG,2020-11-02,5 stars,5,bo,tweet
first,ORDINAL,2020-11-02,5 stars,5,bo,tweet
new mexico,GPE,2020-11-02,5 stars,5,bo,tweet
spaceport america,LOC,2020-11-02,5 stars,5,bo,tweet
the virgin galactic pilot corps,ORG,2020-10-27,5 stars,5,bo,tweet
patrick moran,PERSON,2020-10-27,5 stars,5,bo,tweet
jameel janjua,PERSON,2020-10-27,5 stars,5,bo,tweet
us,GPE,2020-10-22,5 stars,5,bo,tweet
black leaders in aerospace scholarship,ORG,2020-10-22,5 stars,5,bo,tweet
new mexico,GPE,2020-10-22,4 stars,4,bo,tweet
first,ORDINAL,2020-10-14,4 stars,4,bo,tweet
dr alan stern,PERSON,2020-10-14,4 stars,4,bo,tweet
nasa,ORG,2020-10-14,4 stars,4,bo,tweet
first,ORDINAL,2020-10-14,4 stars,4,bo,tweet
spaceport america nm,FAC,2020-10-14,4 stars,4,bo,tweet
mach,ORG,2020-08-03,4 stars,4,bo,tweet
virgin galactic,ORG,2020-08-03,4 stars,4,bo,tweet
earth,LOC,2020-07-27,5 stars,5,bo,tweet
michael colglazier,PERSON,2020-07-15,4 stars,4,bo,tweet
earth,LOC,2020-07-02,5 stars,5,bo,tweet
future astronauts,ORG,2020-07-02,5 stars,5,bo,tweet
new mexico read,GPE,2020-06-25,4 stars,4,bo,tweet
spaceshiptwo unity,ORG,2020-06-25,4 stars,4,bo,tweet
new mexico,GPE,2020-06-25,4 stars,4,bo,tweet
spaceport america,LOC,2020-06-25,4 stars,4,bo,tweet
spaceshiptwo unity,ORG,2020-06-25,4 stars,4,bo,tweet
new mexico,GPE,2020-06-25,4 stars,4,bo,tweet
vms eve,WORK_OF_ART,2020-06-25,4 stars,4,bo,tweet
spaceport america,LOC,2020-06-25,4 stars,4,bo,tweet
nasa,ORG,2020-06-23,4 stars,4,bo,tweet
a space act agreement,LAW,2020-06-22,4 stars,4,bo,tweet
private orbital spaceflight,ORG,2020-06-22,4 stars,4,bo,tweet
new mexico,GPE,2020-04-28,5 stars,5,bo,tweet
new mexico,GPE,2020-04-28,5 stars,5,bo,tweet
a space act agreement,LAW,2020-04-27,5 stars,5,bo,tweet
mission updates,ORG,2020-02-25,1 star,1,bo,tweet
register,ORG,2020-02-25,1 star,1,bo,tweet
nm,GPE,2020-02-14,4 stars,4,bo,tweet
spaceshiptwo,ORG,2020-02-14,4 stars,4,bo,tweet
mission specialists,ORG,2019-10-16,5 stars,5,bo,tweet
bill,PERSON,2021-08-02,5 stars,5,spacex,facebook
bill lattimer,PERSON,2021-08-02,5 stars,5,spacex,facebook
bill,PERSON,2021-08-02,5 stars,5,spacex,facebook
alex wright,PERSON,2021-08-02,1 star,1,spacex,facebook
don,PERSON,2021-08-02,1 star,1,spacex,facebook
todd grzywacz different,PERSON,2021-07-21,4 stars,4,spacex,facebook
spacex,ORG,2021-07-21,5 stars,5,spacex,facebook
love,WORK_OF_ART,2021-07-21,5 stars,5,spacex,facebook
spacex,PERSON,2021-07-21,5 stars,5,spacex,facebook
bezos,PRODUCT,2021-07-21,4 stars,4,spacex,facebook
branson,GPE,2021-07-21,4 stars,4,spacex,facebook
musk,PRODUCT,2021-07-21,4 stars,4,spacex,facebook
jd,PERSON,2021-07-21,4 stars,4,spacex,facebook
spacex,PERSON,2021-07-21,5 stars,5,spacex,facebook
elon,ORG,2021-07-21,4 stars,4,spacex,facebook
deep space,ORG,2021-07-21,4 stars,4,spacex,facebook
gateway,ORG,2021-07-21,4 stars,4,spacex,facebook
wll,ORG,2021-07-21,5 stars,5,spacex,facebook
hyperloop transportation technologies inc also,ORG,2021-07-24,4 stars,4,spacex,facebook
exaust,ORG,2021-07-24,4 stars,4,spacex,facebook
awesomeeeee ,PERSON,2021-02-17,5 stars,5,spacex,facebook
mike watts,PERSON,2021-01-30,4 stars,4,spacex,facebook
saturn,PRODUCT,2021-01-30,4 stars,4,spacex,facebook
nasa,ORG,2021-01-30,4 stars,4,spacex,facebook
youtube,ORG,2021-01-30,4 stars,4,spacex,facebook
nicolas,PERSON,2021-01-31,3 stars,3,spacex,facebook
mary angela white burnard,PERSON,2021-01-31,3 stars,3,spacex,facebook
christian navarro,PERSON,2021-01-30,5 stars,5,spacex,facebook
kenneth wood,PERSON,2020-12-12,3 stars,3,spacex,facebook
time,ORG,2020-12-12,3 stars,3,spacex,facebook
kenya,GPE,2021-06-18,4 stars,4,spacex,facebook
kasao,GPE,2021-06-18,4 stars,4,spacex,facebook
stage one,ORG,2021-06-18,5 stars,5,spacex,facebook
mexican,NORP,2021-06-21,1 star,1,spacex,facebook
3000 dollars,MONEY,2021-06-21,1 star,1,spacex,facebook
banco azteca,ORG,2021-06-21,1 star,1,spacex,facebook
quantum nanochips optical,ORG,2021-06-21,1 star,1,spacex,facebook
mexico,GPE,2021-06-21,1 star,1,spacex,facebook
pbit,NORP,2021-06-21,1 star,1,spacex,facebook
second,ORDINAL,2021-06-18,1 star,1,spacex,facebook
2nd,ORDINAL,2021-06-18,4 stars,4,spacex,facebook
spacex,PERSON,2021-06-18,3 stars,3,spacex,facebook
earth,LOC,2021-06-18,3 stars,3,spacex,facebook
earth,LOC,2021-06-18,5 stars,5,spacex,facebook
spacex,ORG,2021-06-18,5 stars,5,spacex,facebook
youtuber mais famosa,PERSON,2021-06-18,3 stars,3,spacex,facebook
diana,PERSON,2021-06-18,3 stars,3,spacex,facebook
universo,ORG,2021-06-18,3 stars,3,spacex,facebook
mar fugir,PERSON,2021-06-18,3 stars,3,spacex,facebook
da cabecuda,PERSON,2021-06-18,3 stars,3,spacex,facebook
renascida e diferente terra cetentrional,ORG,2021-06-18,3 stars,3,spacex,facebook
terra,LOC,2021-06-18,3 stars,3,spacex,facebook
tao procurando meu lugar photoshopado,PERSON,2021-06-18,3 stars,3,spacex,facebook
amo essa,PERSON,2021-06-18,3 stars,3,spacex,facebook
johnny depp,PERSON,2021-07-13,4 stars,4,spacex,facebook
mars,LOC,2021-07-13,4 stars,4,spacex,facebook
asia,LOC,2021-06-18,1 star,1,spacex,facebook
mike ybarra,PERSON,2021-06-18,1 star,1,spacex,facebook
usa,GPE,2021-06-18,1 star,1,spacex,facebook
bill gates,PERSON,2021-06-18,1 star,1,spacex,facebook
europe,LOC,2021-06-18,1 star,1,spacex,facebook
the middle east,LOC,2021-06-18,1 star,1,spacex,facebook
russia,GPE,2021-06-18,1 star,1,spacex,facebook
dave michaels,PERSON,2021-08-31,1 star,1,spacex,facebook
mercury,ORG,2021-06-15,5 stars,5,spacex,facebook
saturn,PRODUCT,2021-06-15,5 stars,5,spacex,facebook
bozos,NORP,2021-06-15,3 stars,3,spacex,facebook
spacex,PERSON,2021-06-15,3 stars,3,spacex,facebook
elon musk,PERSON,2021-06-24,5 stars,5,spacex,facebook
separo del cohete,ORG,2021-07-08,1 star,1,spacex,facebook
dragon se,PERSON,2021-07-08,1 star,1,spacex,facebook
la capsula,ORG,2021-07-08,1 star,1,spacex,facebook
mars,LOC,2021-07-08,1 star,1,spacex,facebook
china,GPE,2021-07-08,1 star,1,spacex,facebook
russia,GPE,2021-07-08,1 star,1,spacex,facebook
jupiter,LOC,2021-06-07,5 stars,5,spacex,facebook
watta,PERSON,2021-06-05,4 stars,4,spacex,facebook
earth,LOC,2021-06-10,2 stars,2,spacex,facebook
engine,ORG,2021-06-10,2 stars,2,spacex,facebook
machanic,ORG,2021-06-10,2 stars,2,spacex,facebook
asia russia,LOC,2021-06-12,1 star,1,spacex,facebook
don,PERSON,2021-06-12,1 star,1,spacex,facebook
microsoft,ORG,2021-06-12,1 star,1,spacex,facebook
steven,PERSON,2021-06-09,1 star,1,spacex,facebook
elon musk or,PERSON,2021-06-09,1 star,1,spacex,facebook
microsoft,ORG,2021-06-09,1 star,1,spacex,facebook
bill gates,PERSON,2021-06-09,1 star,1,spacex,facebook
scottish,NORP,2021-06-09,1 star,1,spacex,facebook
vikings,NORP,2021-06-09,1 star,1,spacex,facebook
don,PERSON,2021-06-09,2 stars,2,spacex,facebook
asia russia,LOC,2021-06-12,1 star,1,spacex,facebook
don,PERSON,2021-06-12,1 star,1,spacex,facebook
microsoft,ORG,2021-06-12,1 star,1,spacex,facebook
steven,PERSON,2021-06-09,1 star,1,spacex,facebook
elon musk or,PERSON,2021-06-09,1 star,1,spacex,facebook
microsoft,ORG,2021-06-09,1 star,1,spacex,facebook
bill gates,PERSON,2021-06-09,1 star,1,spacex,facebook
scottish,NORP,2021-06-09,1 star,1,spacex,facebook
vikings,NORP,2021-06-09,1 star,1,spacex,facebook
baddrul hezri manspeed,ORG,2021-04-23,5 stars,5,spacex,facebook
shashika lakshan,PERSON,2021-04-23,5 stars,5,spacex,facebook
melbourne beach getting,GPE,2021-04-23,5 stars,5,spacex,facebook
boynton beach fl,GPE,2021-04-23,5 stars,5,spacex,facebook
sumter south carolina,GPE,2021-04-23,4 stars,4,spacex,facebook
valrico fl,GPE,2021-04-23,4 stars,4,spacex,facebook
gainesville,GPE,2021-04-23,5 stars,5,spacex,facebook
epa,ORG,2021-04-23,4 stars,4,spacex,facebook
syria,GPE,2021-04-23,1 star,1,spacex,facebook
sci fi movie,ORG,2021-04-23,1 star,1,spacex,facebook
pennsylvania,GPE,2021-04-23,5 stars,5,spacex,facebook
saint pete fl,PERSON,2021-04-23,5 stars,5,spacex,facebook
alaska,GPE,2021-04-23,5 stars,5,spacex,facebook
kerala,GPE,2021-04-23,5 stars,5,spacex,facebook
india,GPE,2021-04-23,5 stars,5,spacex,facebook
grande s tecnologia s,ORG,2021-04-23,5 stars,5,spacex,facebook
spacex,ORG,2021-04-25,5 stars,5,spacex,facebook
carsten michael petersen jrgen,PERSON,2021-04-24,4 stars,4,spacex,facebook
bork casper friis pedersen vilde billeder,PERSON,2021-04-24,4 stars,4,spacex,facebook
crew dragon,PRODUCT,2021-04-23,5 stars,5,spacex,facebook
epopee,PERSON,2021-04-23,5 stars,5,spacex,facebook
navy,ORG,2021-04-23,1 star,1,spacex,facebook
czemu lataja w gumiakach,ORG,2021-04-26,1 star,1,spacex,facebook
nota,ORG,2021-04-26,5 stars,5,spacex,facebook
mike ybarra,PERSON,2021-04-23,1 star,1,spacex,facebook
steven,PERSON,2021-04-23,1 star,1,spacex,facebook
elon musk steven,PERSON,2021-04-23,1 star,1,spacex,facebook
bill gates,PERSON,2021-04-23,1 star,1,spacex,facebook
don,PERSON,2021-04-23,1 star,1,spacex,facebook
godspeed,PERSON,2021-04-23,5 stars,5,spacex,facebook
3rd,ORDINAL,2021-04-23,5 stars,5,spacex,facebook
godspeed,PERSON,2021-04-23,5 stars,5,spacex,facebook
love,WORK_OF_ART,2021-03-17,5 stars,5,spacex,facebook
arizona,GPE,2021-03-17,5 stars,5,spacex,facebook
crystalann,ORG,2021-03-17,5 stars,5,spacex,facebook
scott linda mark aka,PERSON,2021-03-17,5 stars,5,spacex,facebook
john fitzpatrick ii,PERSON,2021-03-14,3 stars,3,spacex,facebook
pennsville nj,GPE,2021-03-14,3 stars,3,spacex,facebook
cleopatra needle nyc,FAC,2021-03-15,4 stars,4,spacex,facebook
alice,PERSON,2021-03-15,4 stars,4,spacex,facebook
central park,LOC,2021-03-15,4 stars,4,spacex,facebook
tice central park contest practice,FAC,2021-03-15,4 stars,4,spacex,facebook
elon,PERSON,2021-03-14,5 stars,5,spacex,facebook
yusaku maezawa,PERSON,2021-03-19,1 star,1,spacex,facebook
kaiden smith,PERSON,2021-04-07,4 stars,4,spacex,facebook
deirdre ohalloran,PERSON,2021-03-18,3 stars,3,spacex,facebook
linda mark aka,PERSON,2021-03-17,5 stars,5,spacex,facebook
navajas de obsidiana prehispanica,ORG,2021-03-26,5 stars,5,spacex,facebook
como lograron,ORG,2021-03-26,5 stars,5,spacex,facebook
tras,PERSON,2021-03-26,4 stars,4,spacex,facebook
como se logro,PERSON,2021-03-26,4 stars,4,spacex,facebook
pedazos en una area de,ORG,2021-03-26,4 stars,4,spacex,facebook
tanto tiempo,ORG,2021-03-26,4 stars,4,spacex,facebook
arctic sea ice,LOC,2021-03-21,3 stars,3,spacex,facebook
uk,GPE,2021-04-07,1 star,1,spacex,facebook
usa,GPE,2021-04-07,1 star,1,spacex,facebook
superman,PERSON,2021-04-07,1 star,1,spacex,facebook
bill gates,PERSON,2021-04-12,1 star,1,spacex,facebook
elon musk,PERSON,2021-04-12,1 star,1,spacex,facebook
mike ybarra,PERSON,2021-04-12,1 star,1,spacex,facebook
steven,PERSON,2021-04-12,1 star,1,spacex,facebook
fully insured cryptocurrency exchange,ORG,2021-03-22,1 star,1,spacex,facebook
development centrer  mining farm,ORG,2021-03-22,1 star,1,spacex,facebook
data centrer,ORG,2021-03-22,1 star,1,spacex,facebook
dubai,GPE,2021-03-22,1 star,1,spacex,facebook
maria,PERSON,2021-04-08,1 star,1,spacex,facebook
elon musk,PERSON,2021-04-08,1 star,1,spacex,facebook
starlink,ORG,2021-06-28,5 stars,5,spacex,facebook
lafollete,GPE,2021-06-28,5 stars,5,spacex,facebook
trisha rodrick,PERSON,2021-04-27,1 star,1,spacex,facebook
whatsapp,ORG,2021-04-27,1 star,1,spacex,facebook
first,ORDINAL,2021-04-27,1 star,1,spacex,facebook
fino osorio,PERSON,2021-03-15,3 stars,3,spacex,facebook
mark o w rice got,PERSON,2021-03-25,5 stars,5,spacex,facebook
lyra hutchins,PERSON,2021-06-02,4 stars,4,spacex,facebook
romania,GPE,2021-04-24,5 stars,5,spacex,facebook
space x,WORK_OF_ART,2021-04-23,3 stars,3,spacex,facebook
first,ORDINAL,2021-04-23,3 stars,3,spacex,facebook
mars,LOC,2021-04-23,3 stars,3,spacex,facebook
flint,GPE,2021-04-23,3 stars,3,spacex,facebook
french,NORP,2021-04-23,1 star,1,spacex,facebook
thomas pesquet,PERSON,2021-04-23,1 star,1,spacex,facebook
spacex elon spacex,ORG,2021-04-23,1 star,1,spacex,facebook
mars,LOC,2021-04-23,1 star,1,spacex,facebook
earth,LOC,2021-04-23,1 star,1,spacex,facebook
universe,ORG,2021-04-23,1 star,1,spacex,facebook
nasa,ORG,2021-04-23,1 star,1,spacex,facebook
moon,PERSON,2021-04-23,1 star,1,spacex,facebook
elon musk,PERSON,2021-04-23,1 star,1,spacex,facebook
2nd,ORDINAL,2021-04-23,5 stars,5,spacex,facebook
starlink,ORG,2021-08-29,5 stars,5,spacex,facebook
jessie anderson,PERSON,2021-08-29,5 stars,5,spacex,facebook
jessie,PERSON,2021-08-29,5 stars,5,spacex,facebook
asia russia,LOC,2021-06-12,1 star,1,spacex,facebook
don,PERSON,2021-06-12,1 star,1,spacex,facebook
microsoft,ORG,2021-06-12,1 star,1,spacex,facebook
vinicius de souza barreira,PERSON,2021-07-01,5 stars,5,spacex,facebook
earth,LOC,2021-07-01,5 stars,5,spacex,facebook
starlink,ORG,2021-07-01,5 stars,5,spacex,facebook
8th,ORDINAL,2021-07-01,5 stars,5,spacex,facebook
omuamua,PRODUCT,2021-07-01,4 stars,4,spacex,facebook
89th,ORDINAL,2021-07-01,1 star,1,spacex,facebook
ula,PERSON,2021-07-01,1 star,1,spacex,facebook
buck rogers,PERSON,2021-07-03,5 stars,5,spacex,facebook
bezos,PERSON,2021-07-02,3 stars,3,spacex,facebook
branson,GPE,2021-07-02,3 stars,3,spacex,facebook
wooow woow woow,PERSON,2021-07-01,5 stars,5,spacex,facebook
spacex,ORG,2021-07-02,5 stars,5,spacex,facebook
awesome,ORG,2021-07-02,5 stars,5,spacex,facebook
spacex falcon 9,WORK_OF_ART,2021-07-02,5 stars,5,spacex,facebook
christian day,EVENT,2021-07-02,5 stars,5,spacex,facebook
mars,LOC,2021-07-01,5 stars,5,spacex,facebook
lz,ORG,2021-07-01,1 star,1,spacex,facebook
first,ORDINAL,2021-07-01,4 stars,4,spacex,facebook
marizete santos acompanhe ao vivo,PERSON,2021-07-01,5 stars,5,spacex,facebook
europa,LOC,2021-07-01,1 star,1,spacex,facebook
syfy,ORG,2021-07-01,5 stars,5,spacex,facebook
wowwww,ORG,2021-07-01,5 stars,5,spacex,facebook
kathleen isidorio,PERSON,2021-07-01,5 stars,5,spacex,facebook
nice elon,PERSON,2021-07-01,5 stars,5,spacex,facebook
fantastic,NORP,2021-07-01,5 stars,5,spacex,facebook
ta daa,PERSON,2021-07-01,3 stars,3,spacex,facebook
second,ORDINAL,2021-06-04,3 stars,3,spacex,facebook
the canada arm,ORG,2021-06-04,3 stars,3,spacex,facebook
iss,ORG,2021-06-04,3 stars,3,spacex,facebook
aterrizaje impactante emocionante,PERSON,2021-09-01,5 stars,5,spacex,facebook
swiss,NORP,2021-09-02,5 stars,5,spacex,facebook
elon,PERSON,2021-09-01,5 stars,5,spacex,facebook
spacex,ORG,2021-09-01,5 stars,5,spacex,facebook
jd,PERSON,2021-09-01,5 stars,5,spacex,facebook
el primer video que veo y sale en condiciones,ORG,2021-09-01,2 stars,2,spacex,facebook
y el,GPE,2021-09-01,2 stars,2,spacex,facebook
lazer,ORG,2021-09-01,5 stars,5,spacex,facebook
apollo,ORG,2021-09-01,5 stars,5,spacex,facebook
russ rowe,PERSON,2021-09-01,5 stars,5,spacex,facebook
russ rowe,PERSON,2021-09-01,5 stars,5,spacex,facebook
honda,ORG,2021-07-27,5 stars,5,spacex,facebook
blackpink,PERSON,2021-07-27,4 stars,4,spacex,facebook
shoutout,PERSON,2021-07-27,2 stars,2,spacex,facebook
maravilla de ekipo,ORG,2021-07-27,5 stars,5,spacex,facebook
kellogs,ORG,2021-07-28,1 star,1,spacex,facebook
beautyful,PERSON,2021-08-04,5 stars,5,spacex,facebook
gareth boiling imb,PERSON,2021-07-16,5 stars,5,spacex,facebook
grey area,LOC,2021-07-16,5 stars,5,spacex,facebook
leigh johnson,PERSON,2021-07-16,5 stars,5,spacex,facebook
atlantis,PRODUCT,2021-07-16,4 stars,4,spacex,facebook
usb,ORG,2021-07-19,4 stars,4,spacex,facebook
usb,ORG,2021-07-19,4 stars,4,spacex,facebook
devin marston,PERSON,2021-07-17,3 stars,3,spacex,facebook
photon ion,PRODUCT,2021-07-17,3 stars,3,spacex,facebook
spacex,ORG,2021-08-16,5 stars,5,spacex,facebook
ellon,PRODUCT,2021-08-16,5 stars,5,spacex,facebook
love,WORK_OF_ART,2021-08-17,5 stars,5,spacex,facebook
don,PERSON,2021-08-17,5 stars,5,spacex,facebook
